Date,momentum_3m_quarterly_n5,momentum_6m_quarterly_n5,momentum_12m_quarterly_n5,momentum_12m_skip_1m_quarterly_n5,risk_adjusted_momentum_quarterly_n5,low_vol_momentum_quarterly_n5,breakout_52w_quarterly_n5,drawdown_filtered_momentum_quarterly_n5,low_volatility_quarterly_n5,mean_reversion_rsi_quarterly_n5,high_liquidity_quarterly_n5,min_drawdown_quarterly_n5,spy_buy_and_hold
2020-06-04,0.9895660570213126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.016007135479741,0.9625851584558666,1.1955068576617878,1.0,0.9640497300336635
2020-06-05,0.9911078203269768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0184515641143848,1.0742263616686047,1.2190375453754108,1.0,0.988758307370012
2020-06-08,0.9970126035758781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0328826647689868,1.154255467045802,1.2234785220904987,1.0,1.000709542767962
2020-06-09,0.9992957117149162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.023506831448369,1.1151272565965833,1.2547896259112994,1.0,0.9932478529246158
2020-06-10,1.008541738707714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.019553520863347,1.0625809122209728,1.2815791003986041,1.0,0.9877053809415072
2020-06-11,0.9735667593070793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9752076567581224,0.9597264984255015,1.217852532558028,1.0,0.9307652179146523
2020-06-12,0.9721390008994865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9686623303344774,0.9905948482637583,1.2288993999286335,1.0,0.9419119956732845
2020-06-15,0.9924445371696281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.969378040783696,1.00759245358755,1.2469726550861042,1.0,0.950705070123644
2020-06-16,1.0055671976157952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9802125657012986,1.0390910055284681,1.2643661212726276,1.0,0.9690041626509067
2020-06-17,1.0166675901481437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9806543137481736,1.0043313701753795,1.2717483768268267,1.0,0.9649787827646974
2020-06-18,1.024655512435131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.974838131611638,1.016382817662257,1.2758126865192096,1.0,0.9653506099697523
2020-06-19,1.0370645895072745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9794995654037522,1.0205001218919931,1.2790725787921589,1.0,0.959833386785213
2020-06-22,1.0510323549339102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827164214065598,1.0283151691560923,1.3042736758990925,1.0,0.9659913111154913
2020-06-23,1.052889347655468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9843725598266647,1.0268071794634044,1.317640333919112,1.0,0.9704382944096496
2020-06-24,1.0365503961631584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9707905835083054,0.9706018776064097,1.2899043506427448,1.0,0.9456836508979518
2020-06-25,1.0541253347465325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.971218022625737,0.9892557634477794,1.3073198444171588,1.0,0.9558216103333352
2020-06-26,1.0497363412925529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9662844847610519,0.9681997694139659,1.2575386752887407,1.0,0.9331196426171705
