strategy,rebalance_frequency,top_n,rebalance_no,signal_date,effective_date,ticker,shares,price,execution_price,market_value,weight,target_weight,allocation_mode,cash_contribution,cash_after,total_equity,rank_on_signal
momentum_6m,quarterly,5,16,2023-12-29,2024-01-02,BX,114,118.82610321044922,119.68762501598852,13546.175765991211,0.20346219081891906,0.2,equal_weight,2000.0,7.721920726056837,66578.34417032932,5.0
momentum_6m,quarterly,5,16,2023-12-29,2024-01-02,FICO,11,1131.1600341796875,1152.4000244140625,12442.760375976562,0.1868890031891434,0.2,equal_weight,2000.0,7.721920726056837,66578.34417032932,4.0
momentum_6m,quarterly,5,16,2023-12-29,2024-01-02,INTC,280,47.16828155517578,48.54978086907395,13207.118835449219,0.1983695899925216,0.2,equal_weight,2000.0,7.721920726056837,66578.34417032932,2.0
momentum_6m,quarterly,5,16,2023-12-29,2024-01-02,KEY,1070,12.977754592895508,12.702388604704659,13886.197414398193,0.20856928161013932,0.2,equal_weight,2000.0,7.721920726056837,66578.34417032932,1.0
momentum_6m,quarterly,5,16,2023-12-29,2024-01-02,CASH,0,1.0,,7.721920726056837,0.00011598246880850058,,equal_weight,2000.0,7.721920726056837,66578.34417032932,
momentum_6m,quarterly,5,17,2024-03-28,2024-04-01,AMD,82,183.33999633789062,180.10000610351562,15033.879699707031,0.1999503247620234,0.2,equal_weight,2000.0,5.116714921851525,75188.07342573728,4.0
momentum_6m,quarterly,5,17,2024-03-28,2024-04-01,DECK,94,155.0833282470703,157.94332885742188,14577.83285522461,0.19388491007982842,0.2,equal_weight,2000.0,5.116714921851525,75188.07342573728,3.0
momentum_6m,quarterly,5,17,2024-03-28,2024-04-01,NRG,228,67.72369384765625,65.26188882653838,15441.002197265625,0.20536504652585083,0.2,equal_weight,2000.0,5.116714921851525,75188.07342573728,5.0
momentum_6m,quarterly,5,17,2024-03-28,2024-04-01,NVDA,165,90.20689392089844,90.14300911365386,14884.137496948242,0.19795875620684972,0.2,equal_weight,2000.0,5.116714921851525,75188.07342573728,2.0
momentum_6m,quarterly,5,17,2024-03-28,2024-04-01,SMCI,147,103.71499633789062,101.0,15246.104461669922,0.20277291021066512,0.2,equal_weight,2000.0,5.116714921851525,75188.07342573728,1.0
momentum_6m,quarterly,5,17,2024-03-28,2024-04-01,CASH,0,1.0,,5.116714921851525,6.805221478251158e-05,,equal_weight,2000.0,5.116714921851525,75188.07342573728,
momentum_6m,quarterly,5,18,2024-06-28,2024-07-01,CEG,78,202.62295532226562,205.72578851695755,15804.590515136719,0.19820064335556145,0.2,equal_weight,2000.0,82.41431032150938,79740.35930238693,4.0
momentum_6m,quarterly,5,18,2024-06-28,2024-07-01,LLY,18,901.7753295898438,899.2111664464175,16231.955932617188,0.20356010525439536,0.2,equal_weight,2000.0,82.41431032150938,79740.35930238693,5.0
momentum_6m,quarterly,5,18,2024-06-28,2024-07-01,NVDA,130,124.09546661376953,123.26683055595603,16132.410659790039,0.20231173775645547,0.2,equal_weight,2000.0,82.41431032150938,79740.35930238693,2.0
momentum_6m,quarterly,5,18,2024-06-28,2024-07-01,SMCI,193,81.23200225830078,83.14399719238281,15677.77643585205,0.196610305910457,0.2,equal_weight,2000.0,82.41431032150938,79740.35930238693,1.0
momentum_6m,quarterly,5,18,2024-06-28,2024-07-01,VST,183,86.40006256103516,87.78499757927726,15811.211448669434,0.19828367450303355,0.2,equal_weight,2000.0,82.41431032150938,79740.35930238693,3.0
momentum_6m,quarterly,5,18,2024-06-28,2024-07-01,CASH,0,1.0,,82.41431032150938,0.0010335332200972715,,equal_weight,2000.0,82.41431032150938,79740.35930238693,
momentum_6m,quarterly,5,19,2024-09-30,2024-10-01,CHRW,158,106.08738708496094,106.63811364764257,16761.807159423828,0.20187881063958332,0.2,equal_weight,2000.0,21.745526271191267,83029.05642409834,5.0
momentum_6m,quarterly,5,19,2024-09-30,2024-10-01,FICO,8,1915.68994140625,1953.5699462890625,15325.51953125,0.18458019627454086,0.2,equal_weight,2000.0,21.745526271191267,83029.05642409834,4.0
momentum_6m,quarterly,5,19,2024-09-30,2024-10-01,GEV,66,255.58103942871094,255.05300122829297,16868.348602294922,0.20316199326816697,0.2,equal_weight,2000.0,21.745526271191267,83029.05642409834,1.0
momentum_6m,quarterly,5,19,2024-09-30,2024-10-01,PLTR,454,36.459999084472656,37.209999084472656,16552.839584350586,0.1993620100871855,0.2,equal_weight,2000.0,21.745526271191267,83029.05642409834,3.0
momentum_6m,quarterly,5,19,2024-09-30,2024-10-01,VST,144,121.51941680908203,117.00767708194685,17498.796020507812,0.2107550871242825,0.2,equal_weight,2000.0,21.745526271191267,83029.05642409834,2.0
momentum_6m,quarterly,5,19,2024-09-30,2024-10-01,CASH,0,1.0,,21.745526271191267,0.00026190260624086594,,equal_weight,2000.0,21.745526271191267,83029.05642409834,
momentum_6m,quarterly,5,20,2024-12-31,2025-01-02,AXON,37,596.489990234375,604.0700073242188,22070.129638671875,0.20207218531729101,0.2,equal_weight,2000.0,42.04523807822247,109219.03776127158,2.0
momentum_6m,quarterly,5,20,2024-12-31,2025-01-02,GEV,66,337.9400329589844,331.8081832950169,22304.04217529297,0.20421386813574224,0.2,equal_weight,2000.0,42.04523807822247,109219.03776127158,4.0
momentum_6m,quarterly,5,20,2024-12-31,2025-01-02,PLTR,290,75.19000244140625,76.19999694824219,21805.100708007812,0.19964560350429833,0.2,equal_weight,2000.0,42.04523807822247,109219.03776127158,1.0
momentum_6m,quarterly,5,20,2024-12-31,2025-01-02,TSLA,56,379.2799987792969,390.1000061035156,21239.679931640625,0.19446866010727745,0.2,equal_weight,2000.0,42.04523807822247,109219.03776127158,5.0
momentum_6m,quarterly,5,20,2024-12-31,2025-01-02,UAL,228,95.43000030517578,97.29000091552734,21758.040069580078,0.19921472039644125,0.2,equal_weight,2000.0,42.04523807822247,109219.03776127158,3.0
momentum_6m,quarterly,5,20,2024-12-31,2025-01-02,CASH,0,1.0,,42.04523807822247,0.00038496253894970185,,equal_weight,2000.0,42.04523807822247,109219.03776127158,
momentum_6m,quarterly,5,21,2025-03-31,2025-04-01,EQT,365,53.09857940673828,52.89162217963796,19380.981483459473,0.198994709914654,0.2,equal_weight,2000.0,5.213992403121054,97394.45582132158,3.0
momentum_6m,quarterly,5,21,2025-03-31,2025-04-01,MCK,28,670.2969970703125,672.8241826277398,18768.31591796875,0.19270415096728732,0.2,equal_weight,2000.0,5.213992403121054,97394.45582132158,5.0
momentum_6m,quarterly,5,21,2025-03-31,2025-04-01,PLTR,231,84.68000030517578,83.88999938964844,19561.080070495605,0.20084387664100792,0.2,equal_weight,2000.0,5.213992403121054,97394.45582132158,1.0
momentum_6m,quarterly,5,21,2025-03-31,2025-04-01,TPR,279,71.64510345458984,69.15831478947081,19988.983863830566,0.20523738949270437,0.2,equal_weight,2000.0,5.213992403121054,97394.45582132158,4.0
momentum_6m,quarterly,5,21,2025-03-31,2025-04-01,TPL,44,447.4972839355469,434.83490804296474,19689.880493164062,0.20216633818753324,0.2,equal_weight,2000.0,5.213992403121054,97394.45582132158,2.0
momentum_6m,quarterly,5,21,2025-03-31,2025-04-01,CASH,0,1.0,,5.213992403121054,5.35347968131427e-05,,equal_weight,2000.0,5.213992403121054,97394.45582132158,
